id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds,team_id
1014,John,,,Wallace,,NYK,,20
1015,Walter,,,McCarty,,NYK,,20
1016,Marcus,,,Camby,,TOR,,28
1017,Donald,,,Whiteside,,TOR,,28
1018,Shareef,,,Abdur-Rahim,F,MEM,,15
1019,Roy,,,Rogers,,MEM,,15
1020,Ben,,,Wallace,,WAS,,30
1021,Reggie,,,Geary,,CLE,,6
1022,Vitaly,,,Potapenko,,CLE,,6
1023,Ed,,,O'Bannon,F,BKN,,3
1024,Kerry,,,Kittles,,BKN,,3
1025,Erick,,,Strickland,,DAL,,7
1026,Darvin,,,Ham,,DEN,,8
1027,Stephon,,,Marbury,G,MIN,,18
1028,Shane,,,Heal,,MIN,,18
1029,Dean,,,Garrett,,MIN,,18
1030,Priest,,,Lauderdale,,ATL,,1
1031,Ike,,,Austin,,MIA,,16
1032,Loy,,,Vaught,F,LAC,,13
1033,Lorenzen,,,Wright,,LAC,,13
1034,Todd,,,Fuller,C,GSW,,10
1035,Ray,,,Owes,,GSW,,10
1036,Ray,,,Allen,G,MIL,,17
1037,Allen,,,Iverson,G,PHI,,23
1038,Mark,,,Bradtke,,PHI,,23
1039,Steve,,,Nash,,PHX,,24
1040,Ben,,,Davis,,PHX,,24
1041,Derek,,,Fisher,,LAL,,14
1042,Travis,,,Knight,,LAL,,14
1043,Kobe,,,Bryant,,LAL,,14
1044,Matt,,,Maloney,G,HOU,,11
1045,Othella,,,Harrington,,HOU,,11
1046,Randy,,,Livingston,,HOU,,11
1047,Emanual,,,Davis,,HOU,,11
1048,Shandon,,,Anderson,,UTA,,29
1049,Malik,,,Rose,,CHA,,4
1050,Tony,,,Delk,,CHA,,4
1051,Jeff,,,McInnis,,DEN,,8
1052,Dontae',,,Jones,,NYK,,20
1053,Nate,,,Driggers,,BOS,,2
1054,Samaki,,,Walker,,DAL,,7
1055,Amal,,,McCaskill,,ORL,,22
1056,James,,,Scott,,MIA,,16
1057,Mark,,,Hendrickson,,PHI,,23
1058,Aleksandar,,,Djordjevic,,POR,,25
1059,Jermaine,,,O'Neal,,POR,,25
1060,Chris,,,Robinson,,MEM,,15
1061,Kevin,,,Salvadori,,SAC,,26
1062,Evric,,,Gray,,BKN,,3
1063,Moochie,,,Norris,,MEM,,15
1064,Devin,,,Gray,,SAC,,26
